"","corr","p"
"FO393415.1",0.00807548205828887,0.444225991618393
"PRSS37",0.00807548205828887,0.444225991618393
"CLEC2A",0.00807548205828887,0.444225991618393
"LINC00463",0.00807548205828887,0.444225991618393
"AC123768.1",0.00807548205828887,0.444225991618393
"AC140912.1",0.00807548205828887,0.444225991618393
"AC010336.5",0.00807548205828887,0.444225991618393
"ATP1B4",0.00807548205828887,0.444225991618393
"ENO1-AS1",0.00807503851255511,0.444251014113009
"HMGCS1",0.00807384206740087,0.444318515205297
"AC027808.2",0.00807229357644691,0.4444058867205
"AC015849.2",0.0080685003570345,0.444619955426957
"PCIF1",0.00806848229506046,0.44462097488738
"GTSF1",0.00806460027384798,0.444840116259723
"AP005901.5",0.00806342552319507,0.444906443457511
"AC022217.2",0.00805889208043098,0.445162457495534
"AL513327.1",0.00805256651841062,0.445519816963645
"FAM27C",0.00804609006370215,0.445885870331666
"AL583856.2",0.00804437393563991,0.445982895688999
"ZNF182",0.00803644175340727,0.446431516548847
"ZNF131",0.00803152737094509,0.446709588350234
"AL162414.1",0.00803012657268454,0.446788868132443
"TBX19",0.00802983865108527,0.446805164376819
"ZNF181",0.00802613745269454,0.447014680796435
"LINC01535",0.00802534578826929,0.447059502371169
