"gene","cor","pval","FDR"
"STK17A",0.0435607193955555,2.33946527753596e-05,7.05137507881103e-05
"SPP1",0.0434789301137428,2.42353550366267e-05,7.29834063206867e-05
"SNX20",0.0434765105334935,2.42606580323228e-05,7.29953483980442e-05
"SPTAN1",0.0434158313735379,2.49034953556515e-05,7.47979434694328e-05
"ICOS",0.0433155754764065,2.60012433536938e-05,7.80265381692864e-05
"DYNC1I2",0.043296412014907,2.62162453804936e-05,7.86027830382723e-05
"RAB5C",0.043285349703855,2.63411260625167e-05,7.8908049264334e-05
"HERC5",0.043275438232634,2.64534953434621e-05,7.91753347068974e-05
"SH3BP1",0.0432581519051545,2.66505670442015e-05,7.96954456802565e-05
"KDM5B",0.0432498180925833,2.67460741109485e-05,7.99111960991746e-05
"CLPTM1L",0.043155172307397,2.78538178228269e-05,8.31482641988576e-05
"RNH1",0.0431476020583891,2.79442796929649e-05,8.33455804966284e-05
"RBL2",0.0430719939678109,2.88632260245979e-05,8.60114078659839e-05
"ASXL2",0.0430623915642972,2.89819692022294e-05,8.62900928118597e-05
"ERP44",0.0430513751315045,2.9118770108636e-05,8.66220109057771e-05
"MMP24OS",0.0429715270941479,3.01288169492315e-05,8.95488121488452e-05
"GET3",0.042961685313802,3.02555918028669e-05,8.98475516993123e-05
"CISD2",0.042951268406323,3.03903271406822e-05,9.01693921494134e-05
"GLRX",0.0429303429425734,3.06627080928939e-05,9.08987213048442e-05
"PSMD6",0.0429094329629799,3.09372034715451e-05,9.1633050282386e-05
"EFR3A",0.0428888804581217,3.12092801728786e-05,9.23589510998423e-05
"MAPK1",0.0428556989430537,3.16533447575583e-05,9.35921282762377e-05
"HIKESHI",0.0427918591975067,3.25246428845557e-05,9.60853223731132e-05
"SEPTIN1",0.0427754534026718,3.2752204866863e-05,9.66741094474015e-05
"TIPRL",0.0427572295769773,3.30067571935928e-05,9.73414796200698e-05
"PDHB",0.0427096766504591,3.3679859900527e-05,9.92409997585726e-05
"TRANK1",0.0426985122292717,3.3839769130509e-05,9.96263771045365e-05
"C4orf3",0.0426925160013619,3.39259511165048e-05,9.97942207820833e-05
"TRIP12",0.0426870130050383,3.40052274230819e-05,9.99414802528894e-05
"PSMD14",0.0426565111569636,3.44478374862169e-05,0.000101155409476694
"PTBP3",0.0426463547008497,3.45964272257128e-05,0.000101504611954686
"SRP9",0.0426159654753491,3.50446673821976e-05,0.000102731625633674
"EIF6",0.0425599228346204,3.58857937104048e-05,0.000105107277639807
"SRSF7",0.0425421766732411,3.61561116688036e-05,0.000105808432864822
"COX20",0.042510073003071,3.66500488099509e-05,0.000107085464616452
"ROCK1",0.0425097471655484,3.66550947284025e-05,0.000107085464616452
"ALDH9A1",0.0424938509866924,3.69020653366798e-05,0.000107714987642305
"GTF3C6",0.0424773544199269,3.71600336058069e-05,0.00010837551147951
"PSMG2",0.0424269792723941,3.79584211072314e-05,0.000110609675134445
"SMC3",0.0423870710556145,3.86024500249772e-05,0.000112390622583359
"PARP10",0.0423838758839204,3.86544588341103e-05,0.000112446346659431
"IRF2BP2",0.042359710404483,3.90499668155865e-05,0.000113500370837826
"DYNLL2",0.042338979731465,3.93923159392006e-05,0.000114398228207135
"HMGN1",0.0423261845074446,3.96050373725854e-05,0.000114918433292294
"RTF1",0.0423009657012075,4.002749714095e-05,0.000116045820101008
"PFDN2",0.0422846446096629,4.03031796751326e-05,0.000116746128423902
"BRD2",0.0422626790776223,4.0677048331424e-05,0.000117713053165655
"SCAMP2",0.0422609977988949,4.07058000277609e-05,0.000117713053165655
"DCTN2",0.0422574235335,4.07669879364908e-05,0.000117790427137445
"ANXA7",0.0422427168103094,4.10196720005427e-05,0.000118420504568655
"SF3B5",0.0422131180878765,4.15327350584004e-05,0.000119800578950074
"DUSP23",0.0421986936271577,4.17849688087718e-05,0.000120426603449712
"RASSF7",0.0421877127523966,4.19779596756095e-05,0.000120818731660516
"PCNP",0.0421869349960648,4.1991660901594e-05,0.000120818731660516
"PSMC3",0.0421749816231163,4.22027700266836e-05,0.000121324097698558
"AL021155.5",0.0421536446590057,4.25821079908879e-05,0.00012220922100405
"MRPL51",0.0421384265095414,4.28546365353987e-05,0.000122888274591449
"MICOS10",0.0421149174176126,4.3278894531811e-05,0.000124000919759904
"CLIP1",0.0420939258801785,4.36610831825007e-05,0.000124991268257184
"NRBP1",0.0420294088000644,4.48558700897847e-05,0.000128090093136188
"NDUFB3",0.0419933351597174,4.55373624620386e-05,0.000129819430818862
"SLC2A4RG",0.0419897986010218,4.56046999423516e-05,0.000129903146130545
"PSMD4",0.0418845856692455,4.7651728970933e-05,0.000135508366425238
"IFIT3",0.0418369874824843,4.86061474396266e-05,0.000138107666437677
"MED31",0.0418226696737883,4.88967687322504e-05,0.000138703023078797
"TINF2",0.0417431548213024,5.05409580676853e-05,0.00014324823326392
"YWHAE",0.041708951449188,5.12642047355067e-05,0.000144990122416036
"PMF1",0.0417080837327611,5.12826799542251e-05,0.000144990122416036
"TRIR",0.041666025724355,5.21857720094518e-05,0.000147421573942473
"TADA3",0.041626291676565,5.30527886076267e-05,0.000149747186325653
"SH3BGRL",0.0415953343702213,5.37377322333094e-05,0.000151555467411502
"RECQL",0.0415812927849806,5.40511623517302e-05,0.000152313860300881
"UTRN",0.0415779033400336,5.41270791074879e-05,0.000152402253190713
"CD320",0.0415650485224238,5.441592018097e-05,0.000153089525443337
"CAMTA1",0.0415500937480629,5.47537835017996e-05,0.000153913470303744
"TBC1D10C",0.0415170810334063,5.55066661025033e-05,0.000155901728026818
"C7orf50",0.041514969544753,5.55551524999759e-05,0.000155909907056946
"NCOA7",0.0415006753496337,5.58844485858515e-05,0.000156705490665736
"SPCS1",0.0414298620609722,5.75432233372202e-05,0.000161092771715737
"CSNK1D",0.0414225081823039,5.77181327181863e-05,0.000161450312370331
"TRAPPC2L",0.0413815261774935,5.8702132325693e-05,0.000163934689539752
"TSPYL1",0.0413420554179059,5.9664846286224e-05,0.00016635162114521
"UQCRQ",0.0412622757562006,6.16565446322325e-05,0.000171764689891586
"UBE2D3",0.0412487384238659,6.20006882467889e-05,0.000172582875909085
"NCOR1",0.0411967682789256,6.33388271053479e-05,0.000176164331323085
"UBA1",0.0411873302825168,6.35847529712973e-05,0.000176675725927964
"HNRNPA3",0.0411857512907401,6.36259849001029e-05,0.000176675725927964
"MRPL33",0.0411236160319777,6.52687499739403e-05,0.000181090343601662
"COX6C",0.0409487730868361,7.010939842812e-05,0.000194156849091017
"C6orf89",0.0409474093750389,7.01484552693649e-05,0.000194156849091017
"KDSR",0.0409186586777891,7.09766846152673e-05,0.00019629041072662
"EIF4G2",0.040900864755859,7.14939035152404e-05,0.000197561101716993
"ALYREF",0.040895021600365,7.16645235565269e-05,0.000197872748254139
"HM13",0.0408601333435235,7.2691301391561e-05,0.000200545921016557
"COA3",0.0408331654703998,7.34944953588346e-05,0.000202443076263093
"TMEM248",0.0408330714262465,7.34973109379599e-05,0.000202443076263093
"YY1",0.0406561776596866,7.8977747547579e-05,0.000217363535285815
"LAPTM4A",0.0406417290016377,7.94420532004134e-05,0.000218465646301137
"RTCA",0.0406028444467122,8.07044513323299e-05,0.000221758978319599
"INPP4B",0.0405527290757258,8.23594382701625e-05,0.000226077639944604
"ATP5F1C",0.0405512637832749,8.24083066386791e-05,0.000226077639944604
"EIF4EBP2",0.0404873179756331,8.45678262853094e-05,0.000231816132790099
"PSMA2",0.0404490043372994,8.58872198177182e-05,0.000235244338668066
"B3GAT3",0.0404437331990897,8.60702547043477e-05,0.000235557073074859
"CDC5L",0.0404244803514745,8.67419260844256e-05,0.000237205538876755
"MIEN1",0.0404140960284747,8.71062550620098e-05,0.000238011580325188
"COX16",0.0403504122038343,8.93723813892389e-05,0.000244008712476126
"MTPN",0.0403086143713639,9.08898608568818e-05,0.000247953918653423
"ATP5F1B",0.040292907366902,9.14663719183835e-05,0.000249327855245251
