"","corr","p"
"CCND3",-0.320172896382741,4.12118220985776e-213
"MYD88",-0.320178188030897,4.05187156880256e-213
"PSME1",-0.320482760350541,1.52556081220135e-213
"NACA",-0.32191916449277,1.49984435253572e-215
"HRH2",-0.323445749652442,1.07283548201879e-217
"FAM110A",-0.324442469562939,4.19723741965366e-219
"MS4A7",-0.325082684272647,5.20036601051121e-220
"SELPLG",-0.326330645298161,8.74626000992964e-222
"RASSF5",-0.328249414289038,1.57587403283188e-224
"LINC02432",-0.328573462784023,5.39618443021745e-225
"ARAP2",-0.328989682950215,1.35965639945306e-225
"RAP1B",-0.329032347898747,1.18034839515367e-225
"UNC119",-0.329397556387896,3.51450770413266e-226
"TNF",-0.331045766054064,1.45315421159661e-228
"CST3",-0.331197626411472,8.74893107064907e-229
"TYMP",-0.334219310005367,3.39739207867291e-233
"PRKCB",-0.337480644652946,5.1793260792982e-238
"CDH23",-0.337744624678902,2.09806228770006e-238
"GBP1",-0.338579576352544,1.19666132619721e-239
"S1PR4",-0.339111031494631,1.92415110884575e-240
"RABGAP1L",-0.34072968745552,7.19626248746455e-243
"SECTM1",-0.341838900707621,1.53269074084744e-244
"TLE4",-0.345598007361586,2.94515301563248e-250
"GMFG",-0.345861809711141,1.16138366825348e-250
"LINC00877",-0.345870532603324,1.12617527326901e-250
"NEURL1",-0.348747163847153,4.16044244610129e-255
"MTPN",-0.350519929440431,7.31554848047192e-258
"LY6E",-0.351963453005353,4.05324942078055e-260
"SYTL1",-0.352302443291507,1.19175989209828e-260
"CPPED1",-0.354805832889454,1.34882864334891e-264
"PECAM1",-0.355789624682987,3.70949787693857e-266
"ICAM2",-0.357351454006609,1.20298173943328e-268
"SH2D3C",-0.358217084535593,4.95059988962446e-270
"LMO2",-0.360445112299362,1.28330350279421e-273
"NAMPT",-0.360756606324523,4.02382168135886e-274
"AC090559.1",-0.361024298751066,1.48362737388214e-274
"CYTIP",-0.361338122346518,4.60052158991647e-275
"S100A9",-0.361432220559006,3.23756958833826e-275
"BID",-0.365026848148267,4.39027248460632e-281
"CDKN2D",-0.365137541473067,2.88800594643007e-281
"CALML4",-0.366474469603831,1.8114992021576e-283
"CSK",-0.368558717700199,6.35694042426656e-287
"TMEM154",-0.368876067426976,1.88348961212432e-287
"RRAS",-0.36890763843517,1.66868756489462e-287
"IFITM1",-0.369878891573422,3.99628835313215e-289
"RARA",-0.369937510909558,3.18904130055167e-289
"SEPTIN9",-0.370135480073423,1.48783529922956e-289
