"gene","cor","pval","FDR"
"STK10",0.0934954062091632,9.33102674887257e-13,3.77575482380185e-12
"PRRC2C",0.0934215439508685,9.72350496306036e-13,3.92949891290687e-12
"JAK3",0.093299067629225,1.04102843609464e-12,4.20162828261619e-12
"CHD2",0.0932929060638704,1.04460646048814e-12,4.21065020577226e-12
"PNISR",0.0932503631728877,1.06964251807197e-12,4.3060320111344e-12
"UHRF2",0.0930716095447726,1.18142757541192e-12,4.74386283801764e-12
"SNRNP70",0.0930504770976282,1.19537770503765e-12,4.79373974807936e-12
"ITPR2",0.0929992818103611,1.22984656056519e-12,4.91938624226077e-12
"EPS15",0.0929719085186369,1.24867461970771e-12,4.98833580560939e-12
"PRF1",0.0929172970549971,1.28708647709874e-12,5.13524579157972e-12
"XRN1",0.0928707762452989,1.32072005595856e-12,5.25606357295183e-12
"PARP15",0.0926448721931559,1.4966983338261e-12,5.93381286331057e-12
"SPG7",0.0925308929656688,1.59402008808345e-12,6.28785785689269e-12
"CEP85L",0.0922706583169526,1.84007956369356e-12,7.2311898643396e-12
"TRIM14",0.0922385511874135,1.87290772242708e-12,7.34179827191415e-12
"ARHGAP4",0.0917582162981135,2.43834998953905e-12,9.48717812307005e-12
"CD6",0.0913057506515801,3.12242225986597e-12,1.20293810896065e-11
"PLEC",0.0912721956932091,3.18006068432097e-12,1.22364052834731e-11
"F2R",0.0911789647654486,3.34573710932949e-12,1.28266889668182e-11
"PGGHG",0.0910332599731232,3.62174771820146e-12,1.38678886987543e-11
"TM9SF3",0.0909905772308013,3.70674617212899e-12,1.41760438973128e-11
"BDP1",0.0909350698243096,3.82021373179195e-12,1.45921927684526e-11
"DDX5",0.09080403351435,4.10175349943676e-12,1.56295248775622e-11
"MYO9B",0.0907578952552726,4.20564670099825e-12,1.59478936569897e-11
"RAPGEF1",0.0906196980372331,4.53251158686093e-12,1.7145906316521e-11
"RORA",0.0905644100717012,4.67014041943303e-12,1.76240196815186e-11
"MCL1",0.0905288292583892,4.76086933329763e-12,1.79448151793526e-11
"TTC17",0.0904864777699756,4.87111656955386e-12,1.83383212030263e-11
"DIAPH1",0.0903962859683961,5.11430249370848e-12,1.92307585374937e-11
"RBM6",0.0902855643364042,5.42915356120981e-12,2.03647674684804e-11
"SNHG14",0.0902834432615955,5.43536682752491e-12,2.03647674684804e-11
"FTX",0.0901781413204064,5.75274522257322e-12,2.15025137282356e-11
"EWSR1",0.0901564960385697,5.82019864743779e-12,2.1702904825642e-11
"PRKCB",0.0900448608603568,6.18058464260402e-12,2.29648263497704e-11
"DOCK11",0.0898517167802415,6.85641651857743e-12,2.53991799678499e-11
"LRBA",0.0898413421230432,6.89469890621251e-12,2.54973770871255e-11
"USP28",0.0896783478884303,7.5243671077556e-12,2.77931863956673e-11
"KDM2A",0.0890738892834344,1.03904788028524e-11,3.80216353859337e-11
"HERC1",0.0890625583815006,1.04533188504852e-11,3.81625237661485e-11
"LCP2",0.0890378253577799,1.05917814759968e-11,3.86230543124722e-11
"PDE7A",0.0890134254491583,1.07301387541543e-11,3.90821313972451e-11
"UBE3A",0.0887209012407556,1.25331531085358e-11,4.54281459130314e-11
"GLS",0.0886186861032969,1.32306039805848e-11,4.78560254707196e-11
"RB1CC1",0.0884654673559578,1.43477952399557e-11,5.17775441570784e-11
"BAZ2B",0.0883172390105545,1.5516273549425e-11,5.56825346495367e-11
"FYN",0.0883169469241969,1.5518665587913e-11,5.56825346495367e-11
"NSD1",0.0881395055666813,1.70405864622089e-11,6.10734618805567e-11
"ANKRD11",0.0880886964441588,1.75026587358627e-11,6.25864741113632e-11
"MBD5",0.0877452258259193,2.09643095906882e-11,7.45397674335581e-11
"CLEC2D",0.0876548104899428,2.19817763937959e-11,7.80689136703782e-11
"SAMD3",0.0868308814071423,3.37807758524604e-11,1.18639982275481e-10
"GTF2I",0.0868307179144164,3.37836429119914e-11,1.18639982275481e-10
"FMNL1",0.0867846383081897,3.46012712803711e-11,1.21375376661347e-10
"SUZ12",0.0867701844132435,3.48617044653098e-11,1.22015965628584e-10
"ZNF451",0.0867561016610387,3.51172944663093e-11,1.22773506629148e-10
"ACTR2",0.0864690209005848,4.07457814832744e-11,1.41661608349832e-10
"PYHIN1",0.086380484075361,4.26532044742801e-11,1.48128958174244e-10
"HELB",0.0863650653275303,4.29941968756787e-11,1.49148010400585e-10
"PBRM1",0.0863409160793012,4.3533633788986e-11,1.50852459184818e-10
"SAMHD1",0.0862984435893765,4.44984735324112e-11,1.540256214102e-10
"KIAA2026",0.0861903476032103,4.70494143919756e-11,1.62496655873607e-10
"MSL1",0.0861310740418169,4.85083559422919e-11,1.67351159774508e-10
"SLC16A7",0.0860905921717002,4.95300977879623e-11,1.70500973285455e-10
"MARK3",0.0859756736025375,5.25466364996979e-11,1.80686679893698e-10
"HECA",0.085954021161619,5.31347807861258e-11,1.8250895130919e-10
"PPP6R2",0.0858138308270786,5.71015812080996e-11,1.95278689933043e-10
"DGKA",0.085740561261905,5.92885792322998e-11,2.02537020122541e-10
"ELK4",0.0857182418819232,5.9970909319854e-11,2.04645018092559e-10
"AC245297.3",0.0856423398179337,6.23492777659943e-11,2.12529712037128e-10
