"gene","beta","stderr","t","p","celltype","padj","label_color","leadingEdgeIn"
"HAVCR2",0.147513289360458,0.0504732268185534,2.92260468883345,0.00412119651750306,"Myeloid",1,"grey",""
"CLINT1",-0.228979594983856,0.0527675589244866,-4.33940094351416,2.91733468638849e-05,"Myeloid",0.129967260278607,"grey",""
"RNF145",-0.145705508926061,0.0567573379809279,-2.56716601076362,0.0114316126760294,"Myeloid",1,"grey",""
"UBLCP1",-0.291293659816952,0.0546478732838928,-5.33037504137986,4.41936754506542e-07,"Myeloid",0.00196882824132664,"grey",""
"TTC1",-0.125371064314033,0.055798188836213,-2.24686619635702,0.0264029502101531,"Myeloid",1,"grey",""
"SLU7",-0.235261296332909,0.0526896484259938,-4.46503826388878,1.76735783799959e-05,"Myeloid",0.0787357916828819,"grey",""
"NUDCD2",-0.133719696215805,0.0506299188661965,-2.64112009677906,0.00931787994757273,"Myeloid",1,"grey",""
"MAT2B",-0.336359469008191,0.064866968329773,-5.18537366041519,8.42497301703923e-07,"Myeloid",0.00375332547909098,"grey",""
"RARS",-0.136100284798068,0.0622250405835075,-2.1872269350378,0.030586802929852,"Myeloid",1,"grey",""
"DOCK2",-0.27626948144366,0.0584700382977981,-4.72497520929559,6.08788685493199e-06,"Myeloid",0.027121535938722,"grey",""
"LCP2",-0.327818604566608,0.0561286084957408,-5.84049049766634,4.22501032118055e-08,"Myeloid",0.000188224209808594,"grey",""
"NPM1",-0.0483466731385687,0.0515074152378256,-0.938635202627373,0.349728232691822,"Myeloid",1,"grey",""
"FBXW11",-0.187649095146048,0.0484303131885417,-3.87462072391562,0.000171387284037596,"Myeloid",0.763530350387491,"grey",""
"STK10",-0.241475024775156,0.0545625623480196,-4.42565404525802,2.07008983960675e-05,"Myeloid",0.0922225023544807,"grey",""
"DUSP1",-0.448920001845119,0.0528799311785855,-8.48942106843958,5.10929604267191e-14,"Myeloid",2.27619138701034e-10,"grey",""
"ERGIC1",-0.0271687040677032,0.0545433977440965,-0.498111690715927,0.619280573912745,"Myeloid",1,"grey",""
"RPL26L1",-0.140513744522623,0.0555766353333304,-2.52828807789222,0.0127075024265219,"Myeloid",1,"grey",""
"ATP6V0E1",0.0190635638149558,0.031899606476913,0.597611253566806,0.551180455656696,"Myeloid",1,"grey",""
"CREBRF",-0.149103340552877,0.0584005787763244,-2.55311409025494,0.011878846671443,"Myeloid",1,"grey",""
